id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,H,HR,AVG,SLG,OPS
592885,"Yelich, Christian",432,0.90566037735849056604,341,73.20065810185184,0.34722222222222222222,0.34310850439882695,0.2708333333333333,0.187683284,0.14814814814814814,7.5363532407407407,8,-0.91075048,91,0.21064814814814814,175,0.4050925925925926,85,11,0.326,0.521,0.933
669357,"Gorman, Nolan",508,0.89911504424778761062,334,73.07759696850391,0.29527559055118110236,0.2694610778443114,0.17716535433070865,0.1437125748502994,0.094488189,7.5257016141732283,12,-10.9344766,174,0.3425196850393701,154,0.3031496062992126,64,17,0.206,0.413,0.692
681624,"Pages, Andy",554,0.90375203915171288744,415,73.05344433213001,0.28519855595667870036,0.27228915662650605,0.20397111913357402,0.13975903614457832,0.10469314079422383,7.7776883212996390,8,-17.18342586,139,0.2509025270758123,188,0.33935018050541516,74,8,0.257,0.399,0.706
650490,"D?az, Yandy",580,0.90909090909090909091,523,73.05116850000006,0.33448275862068965517,0.3690248565965583,0.33275862068965517,0.21414913957934992,0.19310344827586207,7.4923582241379310,1,-8.505241892,57,0.098275862,271,0.4672413793103448,104,8,0.273,0.396,0.725
623993,"Santander, Anthony",642,0.90550070521861777151,520,72.97342269470407,0.33956386292834890966,0.2692307692307692,0.21806853582554517,0.14038461538461539,0.11370716510903427,7.2961741277258567,1,-7.796133261,122,0.19003115264797507,243,0.37850467289719625,82,24,0.237,0.503,0.804
673548,"Suzuki, Seiya",435,0.90436590436590436590,335,72.95007181609198,0.34482758620689655172,0.3582089552238806,0.27586206896551724,0.2,0.15402298850574714,7.2440477701149425,10,10.07166334302974,100,0.22988505747126436,173,0.39770114942528734,76,13,0.27,0.479,0.813
663993,"Lowe, Nathaniel",477,0.90340909090909090909,395,72.94429496855354,0.26834381551362683438,0.28860759493670884,0.2389937106918239,0.14177215189873418,0.11740041928721175,7.1885867085953878,8,-4.545045927,82,0.1719077568134172,188,0.3941299790356394,69,6,0.262,0.373,0.721
657757,"Sheets, Gavin",496,0.90346083788706739526,400,72.89081254032261,0.31048387096774193548,0.3125,0.25201612903225806,0.1475,0.11895161290322581,7.5599311895161290,14,-5.781990314,96,0.1935483870967742,200,0.4032258064516129,62,7,0.225,0.377,0.693
662139,"Varsho, Daulton",499,0.90892531876138433515,370,72.84532022044085,0.27054108216432865731,0.22702702702702704,0.1683366733466934,0.089189189,0.066132265,7.6357014829659319,3,-11.1192281,129,0.25851703406813625,167,0.3346693386773547,59,11,0.202,0.408,0.693
607043,"Nimmo, Brandon",572,0.90937996820349761526,438,72.84312104895105,0.33216783216783216783,0.317351598,0.243006993,0.182648402,0.13986013986013987,7.2792505594405594,7,10.94252407108509,134,0.23426573426573427,206,0.36013986013986016,84,16,0.248,0.454,0.815
647304,"Naylor, Josh",566,0.90127388535031847134,452,72.83095448763255,0.33038869257950530035,0.34513274336283184,0.2756183745583039,0.16592920353982302,0.13250883392226148,7.6611251327433628,4,-0.46036892,114,0.20141342756183744,229,0.4045936395759717,82,22,0.246,0.491,0.816
673237,"Diaz, Yainer",554,0.90522875816993464052,438,72.75885445848375,0.27256317689530685921,0.3310502283105023,0.26173285198555957,0.1598173515981735,0.1263537906137184,7.4956202527075812,10,-7.336144712,116,0.20938628158844766,231,0.41696750902527074,93,7,0.284,0.409,0.717
672284,"Kelenic, Jarred",466,0.90135396518375241779,308,72.70298961373392,0.24248927038626609442,0.37337662337662336,0.24678111587982832,0.17207792207792208,0.11373390557939914,7.3287518669527897,7,-8.676568291,158,0.33905579399141633,160,0.34334763948497854,70,10,0.255,0.418,0.721
457705,"McCutchen, Andrew",510,0.90106007067137809187,373,72.64057471,0.25490196078431372549,0.30831099195710454,0.22549019607843138,0.16621983914209115,0.12156862745098039,7.6135044705882353,5,-11.90996152,137,0.26862745098039215,188,0.3686274509803922,69,12,0.226,0.387,0.715
680776,"Duran, Jarren",640,0.91428571428571428571,502,72.61277462499999,0.27031250000000000000,0.30876494023904383,0.2421875,0.17729083665338646,0.1390625,7.5208385937500000,13,-2.790022466,138,0.215625,249,0.3890625,113,10,0.284,0.477,0.819
668227,"Arozarena, Randy",554,0.89935064935064935065,400,72.52129572202163,0.31407942238267148014,0.3325,0.24007220216606498,0.16,0.11552346570397112,7.3913066787003610,11,-21.41459916,154,0.2779783393501805,202,0.36462093862815886,66,12,0.202,0.362,0.671
641857,"McMahon, Ryan",650,0.90529247910863509749,473,72.46611527692319,0.26923076923076923077,0.32558139534883723,0.23692307692307693,0.18604651162790697,0.13538461538461538,7.1904704000000000,15,-6.327014171,177,0.2723076923076923,205,0.3153846153846154,98,14,0.272,0.447,0.797
664761,"Bohm, Alec",547,0.91014975041597337770,451,72.44654572212065,0.23765996343692870201,0.4057649667405765,0.33455210237659966,0.2039911308203991,0.16819012797074953,7.4477180621572212,6,9.110041160627567,96,0.17550274223034734,262,0.4789762340036563,107,11,0.295,0.482,0.83
682928,"Abrams, CJ",659,0.90273972602739726027,515,72.34764124430954,0.26858877086494688923,0.3320388349514563,0.25948406676783003,0.13980582524271845,0.10925644916540213,7.4572344006069803,21,4.240385213918579,144,0.21851289833080426,248,0.37632776934749623,95,15,0.268,0.489,0.832
502671,"Goldschmidt, Paul",657,0.91250000000000000000,493,72.32762673,0.24961948249619482496,0.3265720081135903,0.2450532724505327,0.16227180527383367,0.121765601,7.7450977929984779,5,-19.03905048,164,0.2496194824961948,223,0.3394216133942161,85,13,0.23,0.373,0.664
656582,"Joe, Connor",402,0.90134529147982062780,316,72.29637771144274,0.25373134328358208955,0.29430379746835444,0.23134328358208955,0.12974683544303797,0.10199004975124377,7.3793741791044776,6,-3.703827074,86,0.21393034825870647,167,0.4154228855721393,64,7,0.242,0.39,0.72
666969,"Garc?a, Adolis",604,0.90284005979073243647,422,72.24528316225168,0.25165562913907284768,0.34834123222748814,0.2433774834437086,0.17535545023696683,0.12251655629139073,7.9823369205298013,11,-26.06940905,182,0.30132450331125826,207,0.34271523178807944,72,17,0.211,0.405,0.682
608369,"Seager, Corey",502,0.90450450450450450450,395,72.22894345,0.20517928286852589641,0.3392405063291139,0.26693227091633465,0.19746835443037974,0.1553784860557769,6.6298475498007968,6,1.0144640983760267,107,0.21314741035856574,201,0.40039840637450197,85,18,0.27,0.479,0.834
664023,"Happ, Ian",607,0.90327380952380952381,442,72.22208998,0.23228995057660626030,0.2850678733031674,0.20757825370675453,0.13122171945701358,0.095551895,6.9934946128500824,9,-5.466099361,165,0.27182866556836904,186,0.30642504118616143,79,15,0.243,0.458,0.81
